tier,file,upstream,new_upstream,upstream_action,our_lines,line_overlap,id_overlap
DERIVED-HIGH,src/process/services/cron/cronServiceSingleton.ts,src/process/services/cron/cronServiceSingleton.ts,src/process/services/cron/cronServiceSingleton.ts,DELETED-OR-UNTRACKED-MOVE,12,91.7,92.3
DERIVED-HIGH,src/process/webserver/auth/middleware/TokenMiddleware.ts,src/process/webserver/auth/middleware/TokenMiddleware.ts,src/process/webserver/auth/middleware/TokenMiddleware.ts,DELETED-OR-UNTRACKED-MOVE,59,91.5,100.0
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/contents/GeminiModalContent.tsx,src/renderer/components/settings/SettingsModal/contents/GeminiModalContent.tsx,src/renderer/components/settings/SettingsModal/contents/GeminiModalContent.tsx,DELETED-OR-UNTRACKED-MOVE,118,91.5,99.1
DERIVED-HIGH,src/process/agent/gemini/cli/errorParsing.ts,src/process/agent/gemini/cli/errorParsing.ts,src/process/agent/gemini/cli/errorParsing.ts,DELETED-OR-UNTRACKED-MOVE,70,91.4,100.0
DERIVED-HIGH,src/renderer/utils/model/modelCapabilities.ts,src/renderer/utils/model/modelCapabilities.ts,packages/desktop/src/renderer/utils/model/modelCapabilities.ts,MOVED+EDITED,35,91.4,97.7
DERIVED-HIGH,tests/unit/chat/exportHelpers.test.ts,tests/unit/chat/exportHelpers.test.ts,tests/unit/chat/exportHelpers.test.ts,DELETED-OR-UNTRACKED-MOVE,46,91.3,100.0
DERIVED-HIGH,src/process/extensions/sandbox/ExtensionStorage.ts,src/process/extensions/sandbox/ExtensionStorage.ts,src/process/extensions/sandbox/ExtensionStorage.ts,DELETED-OR-UNTRACKED-MOVE,46,91.3,100.0
DERIVED-HIGH,src/renderer/components/Markdown/ShadowView.tsx,src/renderer/components/Markdown/ShadowView.tsx,packages/desktop/src/renderer/components/Markdown/ShadowView.tsx,MOVED+EDITED,91,91.2,100.0
DERIVED-HIGH,src/process/utils/webuiConfig.ts,src/process/utils/webuiConfig.ts,packages/desktop/src/process/utils/webuiConfig.ts,MOVED+REWRITTEN,57,91.2,93.5
DERIVED-HIGH,src/renderer/components/chat/BtwOverlay/useBtwCommand.ts,src/renderer/components/chat/BtwOverlay/useBtwCommand.ts,packages/desktop/src/renderer/components/chat/BtwOverlay/useBtwCommand.ts,MOVED+EDITED,45,91.1,100.0
DERIVED-HIGH,src/process/agent/gemini/cli/streamResilience.ts,src/process/agent/gemini/cli/streamResilience.ts,src/process/agent/gemini/cli/streamResilience.ts,DELETED-OR-UNTRACKED-MOVE,112,91.1,100.0
DERIVED-HIGH,src/process/agent/gemini/utils.ts,src/process/agent/gemini/utils.ts,packages/desktop/src/common/utils/utils.ts,MOVED+REWRITTEN,247,91.1,95.5
DERIVED-HIGH,src/renderer/components/chat/ThoughtDisplay.tsx,src/renderer/components/chat/ThoughtDisplay.tsx,packages/desktop/src/renderer/components/chat/ThoughtDisplay.tsx,MOVED+REWRITTEN,45,91.1,93.0
