tier,band,file,upstream,our_lines,upstream_lines,ferrox_lines,line_overlap,id_overlap
AUTO,identical,src/renderer/components/media/UploadProgressBar.tsx,src/renderer/components/media/UploadProgressBar.tsx,16,16,0,100.0,100.0
AUTO,identical,src/renderer/hooks/assistant/useDetectedAgents.ts,src/renderer/hooks/assistant/useDetectedAgents.ts,14,14,0,100.0,100.0
AUTO,identical,src/renderer/hooks/ui/useFontScale.ts,src/renderer/hooks/ui/useFontScale.ts,32,32,0,100.0,100.0
AUTO,identical,src/renderer/hooks/ui/useIndexedItemRefs.ts,src/renderer/hooks/ui/useIndexedItemRefs.ts,7,7,0,100.0,100.0
AUTO,identical,src/renderer/hooks/ui/useThrottle.ts,src/renderer/hooks/ui/useThrottle.ts,17,17,0,100.0,100.0
AUTO,identical,src/renderer/hooks/ui/useDebounce.ts,src/renderer/hooks/ui/useDebounce.ts,14,14,0,100.0,100.0
AUTO,identical,src/renderer/hooks/ui/useConversationShortcuts.ts,src/renderer/hooks/ui/useConversationShortcuts.ts,34,34,0,100.0,100.0
AUTO,identical,src/renderer/hooks/chat/useSendBoxFiles.ts,src/renderer/hooks/chat/useSendBoxFiles.ts,35,35,0,100.0,100.0
AUTO,identical,src/renderer/hooks/chat/useCompositionInput.ts,src/renderer/hooks/chat/useCompositionInput.ts,16,16,0,100.0,100.0
AUTO,identical,src/renderer/hooks/file/useUploadState.ts,src/renderer/hooks/file/useUploadState.ts,36,36,0,100.0,100.0
AUTO,identical,src/renderer/hooks/file/usePreviewLauncher.ts,src/renderer/hooks/file/usePreviewLauncher.ts,53,53,0,100.0,100.0
AUTO,identical,src/renderer/hooks/file/usePasteService.ts,src/renderer/hooks/file/usePasteService.ts,28,28,0,100.0,100.0
AUTO,identical,src/renderer/hooks/file/useOpenFileSelector.ts,src/renderer/hooks/file/useOpenFileSelector.ts,15,15,0,100.0,100.0
AUTO,identical,src/renderer/hooks/agent/useHubAgents.ts,src/renderer/hooks/agent/useHubAgents.ts,33,33,0,100.0,100.0
