tier,file,upstream,our_lines,line_overlap,id_overlap,aionui_notice
DERIVED-HIGH,src/renderer/components/media/LocalImageView.tsx,packages/desktop/src/renderer/components/media/LocalImageView.tsx,28,89.3,93.1,False
DERIVED-HIGH,src/renderer/pages/conversation/components/ChatTitleEditor.tsx,packages/desktop/src/renderer/pages/conversation/components/ChatTitleEditor.tsx,36,88.9,98.4,False
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/hooks/useWorkspaceExpansionState.ts,packages/desktop/src/renderer/pages/conversation/GroupedHistory/hooks/useWorkspaceExpansionState.ts,27,88.9,93.3,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/viewers/index.ts,packages/desktop/src/renderer/pages/conversation/Preview/components/viewers/index.ts,9,88.9,88.9,False
DERIVED-HIGH,src/common/utils/appConfig.ts,packages/desktop/src/common/utils/appConfig.ts,9,88.9,87.5,False
DERIVED-HIGH,src/renderer/hooks/file/usePreviewLauncher.ts,packages/desktop/src/renderer/hooks/file/usePreviewLauncher.ts,53,88.7,96.4,False
DERIVED-HIGH,src/renderer/hooks/file/useDragUpload.ts,packages/desktop/src/renderer/hooks/file/useDragUpload.ts,44,88.6,97.7,False
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/utils/sortOrderHelpers.ts,packages/desktop/src/renderer/pages/conversation/GroupedHistory/utils/sortOrderHelpers.ts,26,88.5,100.0,False
DERIVED-HIGH,src/renderer/hooks/context/AuthContext.tsx,packages/desktop/src/renderer/hooks/context/AuthContext.tsx,86,88.4,95.2,False
DERIVED-HIGH,src/renderer/hooks/ui/useResizableSplit.tsx,packages/desktop/src/renderer/hooks/ui/useResizableSplit.tsx,103,88.3,100.0,False
DERIVED-HIGH,src/renderer/utils/chat/conversationExport.ts,packages/desktop/src/renderer/utils/chat/conversationExport.ts,68,88.2,96.9,False
DERIVED-HIGH,src/renderer/utils/chat/messageHistory.ts,packages/desktop/src/renderer/utils/chat/messageHistory.ts,17,88.2,94.1,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/hooks/usePreviewKeyboardShortcuts.ts,packages/desktop/src/renderer/pages/conversation/Preview/hooks/usePreviewKeyboardShortcuts.ts,8,87.5,100.0,False
DERIVED-HIGH,src/common/api/OpenAI2AnthropicConverter.ts,packages/desktop/src/common/api/OpenAI2AnthropicConverter.ts,96,87.5,94.0,False
DERIVED-HIGH,src/renderer/components/base/StepsWrapper.tsx,packages/desktop/src/renderer/components/base/StepsWrapper.tsx,8,87.5,80.0,False
DERIVED-HIGH,src/renderer/hooks/chat/useInitialMessage.ts,packages/desktop/src/renderer/hooks/chat/useInitialMessage.ts,31,87.1,96.4,False
