tier,file,upstream,our_lines,line_overlap,id_overlap,aionui_notice
DERIVED-HIGH,src/renderer/pages/guid/hooks/useAgentAvailability.ts,src/renderer/pages/guid/hooks/useAgentAvailability.ts,23,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/cron/index.ts,src/renderer/pages/cron/index.ts,3,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/cron/ScheduledTasksPage/CronStatusTag.tsx,src/renderer/pages/cron/ScheduledTasksPage/CronStatusTag.tsx,19,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/index.tsx,src/renderer/pages/conversation/index.tsx,30,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/platforms/assertBridgeSuccess.ts,src/renderer/pages/conversation/platforms/assertBridgeSuccess.ts,4,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/platforms/gemini/useGeminiQuotaFallback.ts,src/renderer/pages/conversation/platforms/gemini/useGeminiQuotaFallback.ts,39,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/platforms/gemini/useGeminiModelSelection.ts,src/renderer/pages/conversation/platforms/gemini/useGeminiModelSelection.ts,31,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/platforms/openclaw/OpenClawChat.tsx,src/renderer/pages/conversation/platforms/openclaw/OpenClawChat.tsx,22,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/platforms/nanobot/NanobotChat.tsx,src/renderer/pages/conversation/platforms/nanobot/NanobotChat.tsx,23,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/platforms/remote/RemoteChat.tsx,src/renderer/pages/conversation/platforms/remote/RemoteChat.tsx,22,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Messages/types.ts,src/renderer/pages/conversation/Messages/types.ts,2,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Messages/constants.ts,src/renderer/pages/conversation/Messages/constants.ts,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Messages/codex/MessageCodexToolCall.tsx,src/renderer/pages/conversation/Messages/codex/MessageCodexToolCall.tsx,30,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Messages/codex/ToolCallComponent/TurnDiffDisplay.tsx,src/renderer/pages/conversation/Messages/codex/ToolCallComponent/TurnDiffDisplay.tsx,19,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Messages/codex/ToolCallComponent/PatchDisplay.tsx,src/renderer/pages/conversation/Messages/codex/ToolCallComponent/PatchDisplay.tsx,41,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Messages/components/MessageSkillSuggest.tsx,src/renderer/pages/conversation/Messages/components/MessageSkillSuggest.tsx,8,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Workspace/utils/filePreview.ts,src/renderer/pages/conversation/Workspace/utils/filePreview.ts,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Workspace/hooks/useWorkspaceCollapse.ts,src/renderer/pages/conversation/Workspace/hooks/useWorkspaceCollapse.ts,10,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Workspace/hooks/useWorkspaceModals.ts,src/renderer/pages/conversation/Workspace/hooks/useWorkspaceModals.ts,17,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/SortableConversationRow.tsx,src/renderer/pages/conversation/GroupedHistory/SortableConversationRow.tsx,18,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/utils/exportHelpers.ts,src/renderer/pages/conversation/GroupedHistory/utils/exportHelpers.ts,46,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/hooks/useVisibleConversationIds.ts,src/renderer/pages/conversation/GroupedHistory/hooks/useVisibleConversationIds.ts,12,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/utils/newConversationName.ts,src/renderer/pages/conversation/utils/newConversationName.ts,2,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/utils/conversationCache.ts,src/renderer/pages/conversation/utils/conversationCache.ts,7,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/utils/layoutCalc.ts,src/renderer/pages/conversation/utils/layoutCalc.ts,57,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/components/ConversationTitleMinimap/minimapTypes.ts,src/renderer/pages/conversation/components/ConversationTitleMinimap/minimapTypes.ts,19,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/hooks/useContainerWidth.ts,src/renderer/pages/conversation/hooks/useContainerWidth.ts,15,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/hooks/useLayoutConstraints.ts,src/renderer/pages/conversation/hooks/useLayoutConstraints.ts,26,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/hooks/usePreviewAutoCollapse.ts,src/renderer/pages/conversation/hooks/usePreviewAutoCollapse.ts,29,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/types.ts,src/renderer/pages/conversation/Preview/types.ts,3,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/constants.ts,src/renderer/pages/conversation/Preview/constants.ts,14,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/index.ts,src/renderer/pages/conversation/Preview/index.ts,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/context/index.ts,src/renderer/pages/conversation/Preview/context/index.ts,4,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/context/PreviewToolbarExtrasContext.tsx,src/renderer/pages/conversation/Preview/context/PreviewToolbarExtrasContext.tsx,8,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/index.ts,src/renderer/pages/conversation/Preview/components/index.ts,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/renderers/index.ts,src/renderer/pages/conversation/Preview/components/renderers/index.ts,2,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/PreviewPanel/index.ts,src/renderer/pages/conversation/Preview/components/PreviewPanel/index.ts,8,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/viewers/ImageViewer.tsx,src/renderer/pages/conversation/Preview/components/viewers/ImageViewer.tsx,23,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/viewers/OfficeDocViewer.tsx,src/renderer/pages/conversation/Preview/components/viewers/OfficeDocViewer.tsx,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/viewers/PptViewer.tsx,src/renderer/pages/conversation/Preview/components/viewers/PptViewer.tsx,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/viewers/URLViewer.tsx,src/renderer/pages/conversation/Preview/components/viewers/URLViewer.tsx,6,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/viewers/index.ts,src/renderer/pages/conversation/Preview/components/viewers/index.ts,9,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/viewers/ExcelViewer.tsx,src/renderer/pages/conversation/Preview/components/viewers/ExcelViewer.tsx,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/hooks/useThemeDetection.ts,src/renderer/pages/conversation/Preview/hooks/useThemeDetection.ts,10,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/hooks/index.ts,src/renderer/pages/conversation/Preview/hooks/index.ts,6,100.0,100.0,False
DERIVED-HIGH,src/renderer/services/registerPwa.ts,src/renderer/services/registerPwa.ts,14,100.0,100.0,False
DERIVED-HIGH,src/common/index.ts,src/common/index.ts,2,100.0,100.0,False
DERIVED-HIGH,src/common/electronSafe.ts,src/common/electronSafe.ts,28,100.0,100.0,False
DERIVED-HIGH,src/common/types/fileSnapshot.ts,src/common/types/fileSnapshot.ts,8,100.0,100.0,False
DERIVED-HIGH,src/common/types/turndown-plugin-gfm.d.ts,src/common/types/turndown-plugin-gfm.d.ts,6,100.0,100.0,False
DERIVED-HIGH,src/common/types/database.ts,src/common/types/database.ts,8,100.0,100.0,False
